date,holiday_name,city,country,source
2026-01-01,Año Nuevo,Barcelona,Spain,Open Data BCN
2026-01-06,Reyes,Barcelona,Spain,Open Data BCN
2026-04-03,Viernes Santo,Barcelona,Spain,Open Data BCN
2026-04-06,Lunes de Pascua Florida,Barcelona,Spain,Open Data BCN
2026-05-01,Fiesta del Trabajo,Barcelona,Spain,Open Data BCN
2026-05-25,Lunes de Pascua Granada,Barcelona,Spain,Open Data BCN
2026-06-24,San Juan,Barcelona,Spain,Open Data BCN
2026-08-15,La Asunción,Barcelona,Spain,Open Data BCN
2026-09-11,Diada Nacional de Cataluña,Barcelona,Spain,Open Data BCN
2026-09-24,Mare de Déu de la Mercè,Barcelona,Spain,Open Data BCN
2026-10-12,Dia Nacional de España,Barcelona,Spain,Open Data BCN
2026-12-08,La Inmaculada,Barcelona,Spain,Open Data BCN
2026-12-25,Navidad,Barcelona,Spain,Open Data BCN
2026-12-26,San Esteban,Barcelona,Spain,Open Data BCN
